,TIC,sec,ec_long,ec_lat,num_s
370,1257898,112,145.9362223576348,-31.541085892017648,6
371,1257898,113,145.9362223576348,-31.541085892017648,6
372,1271818,5,63.15212716770351,-56.92494768639131,6
373,1271818,31,63.15212716770351,-56.92494768639131,6
374,1271818,32,63.15212716770351,-56.92494768639131,6
375,1271818,98,63.15212716770351,-56.92494768639131,6
376,1271818,107,63.15212716770351,-56.92494768639131,6
377,1271818,108,63.15212716770351,-56.92494768639131,6
378,1261860,8,142.99754378352586,-41.50606227190532,11
379,1261860,34,142.99754378352586,-41.50606227190532,11
380,1261860,61,142.99754378352586,-41.50606227190532,11
381,1261860,62,142.99754378352586,-41.50606227190532,11
382,1261860,88,142.99754378352586,-41.50606227190532,11
383,1261860,89,142.99754378352586,-41.50606227190532,11
384,1261860,99,142.99754378352586,-41.50606227190532,11
385,1261860,109,142.99754378352586,-41.50606227190532,11
386,1261860,110,142.99754378352586,-41.50606227190532,11
387,1261860,111,142.99754378352586,-41.50606227190532,11
388,1261860,112,142.99754378352586,-41.50606227190532,11
389,1334907,5,64.57991410331411,-57.39778030693778,7
390,1334907,31,64.57991410331411,-57.39778030693778,7
391,1334907,32,64.57991410331411,-57.39778030693778,7
392,1334907,98,64.57991410331411,-57.39778030693778,7
393,1334907,106,64.57991410331411,-57.39778030693778,7
394,1334907,107,64.57991410331411,-57.39778030693778,7
395,1334907,108,64.57991410331411,-57.39778030693778,7
396,1328422,92,285.54297290355447,-2.5633290173091936,2
397,1328422,116,285.54297290355447,-2.5633290173091936,2
398,20926643,3,359.1830194081644,-25.747760239369562,3
399,20926643,29,359.1830194081644,-25.747760239369562,3
400,20926643,107,359.1830194081644,-25.747760239369562,3
401,1309015,5,64.2311731754263,-56.16528041667392,6
402,1309015,32,64.2311731754263,-56.16528041667392,6
403,1309015,98,64.2311731754263,-56.16528041667392,6
404,1309015,106,64.2311731754263,-56.16528041667392,6
405,1309015,107,64.2311731754263,-56.16528041667392,6
406,1309015,108,64.2311731754263,-56.16528041667392,6
407,20923202,29,356.8729092402404,-24.718952161312934,3
408,20923202,69,356.8729092402404,-24.718952161312934,3
409,20923202,107,356.8729092402404,-24.718952161312934,3
410,20931913,17,37.15518263019417,20.039583903258983,3
411,20931913,58,37.15518263019417,20.039583903258983,3
412,20931913,85,37.15518263019417,20.039583903258983,3
413,20965412,18,42.001173212068586,13.937777555518588,3
414,20965412,58,42.001173212068586,13.937777555518588,3
415,20965412,85,42.001173212068586,13.937777555518588,3
416,20997718,51,232.65312942816928,13.149122059897275,2
417,20997718,117,232.65312942816928,13.149122059897275,2
418,60595351,55,335.9051984071854,23.011805729021166,2
