,TIC,ec_long,ec_lat,num_s,sec
1068,91329517,33.18163529275257,7.163798201887226,5,"[17, 42, 43, 70, 71]"
1069,91359060,103.19019978777594,3.31285410501862,4,"[44, 45, 71, 72]"
1070,12654622,332.15799823599684,-4.553922435304545,3,"[42, 92, 116]"
1071,12631032,48.69011091477682,-25.389069581575274,3,"[4, 31, 109]"
1072,12684336,321.7961912997176,54.46637844531749,7,"[14, 15, 41, 55, 75, 82, 120]"
1073,32452164,12.118865196795332,-39.0829374916523,7,"[3, 30, 97, 104, 105, 106, 107]"
1074,32479528,192.65490260133245,-3.746253315278326,3,"[46, 91, 115]"
1075,32528943,105.8669123702183,-26.351989850095016,4,"[6, 33, 87, 111]"
1076,32500750,82.05920659349611,-51.97559517990194,8,"[5, 6, 32, 33, 98, 107, 108, 109]"
1077,32500778,82.03652236115197,-51.91139127186198,8,"[5, 6, 32, 33, 98, 107, 108, 109]"
1078,52829287,149.0468796155978,-61.200245133293315,8,"[8, 9, 34, 35, 61, 62, 88, 89]"
1079,52829336,245.78456910099345,3.943017549007022,3,"[91, 115, 116]"
1080,71739520,190.26825499512879,-45.04022663844785,10,"[10, 36, 37, 63, 90, 99, 100, 112, 113, 114]"
1081,71743612,47.702350834496734,41.44490296799445,3,"[18, 58, 85]"
1082,71852020,47.15497669500902,40.541872551808815,3,"[18, 58, 85]"
1083,71834059,189.15941920210145,-43.487859246079374,8,"[10, 36, 37, 99, 100, 112, 113, 114]"
1084,71865555,91.60759183074894,-33.67413892105898,6,"[6, 33, 87, 107, 110, 111]"
1085,71801816,236.54128149611364,6.497762433635722,4,"[51, 91, 115, 117]"
1086,91437378,48.05206281485237,3.6045398088221754,5,"[42, 43, 44, 70, 71]"
1087,71859994,237.34918259412203,3.998032156264223,2,"[91, 115]"
1088,91481801,48.10321102253087,2.881563164325686,5,"[42, 43, 44, 70, 71]"
1089,91529289,19.691135683810028,-45.19207921374424,7,"[3, 30, 97, 104, 105, 106, 107]"
1090,91553439,104.00582811992916,2.738466177308514,4,"[44, 45, 71, 72]"
1091,91542972,27.12733822462672,-47.37920305834342,8,"[3, 4, 30, 31, 97, 105, 106, 107]"
1092,12785746,334.41903840457655,-3.25244266598242,3,"[42, 92, 116]"
1093,12786746,333.8611052846286,-4.8290750992418525,3,"[42, 92, 116]"
1094,12864195,358.3574261005228,-13.923837077569493,2,"[29, 107]"
1095,12880347,358.6610400860611,-14.11235107345417,3,"[3, 29, 107]"
1096,32560561,267.0194864577357,-19.32948518575986,2,"[39, 104]"
1097,52921104,108.856695131852,-57.57960819234203,9,"[6, 7, 33, 34, 87, 88, 108, 109, 110]"
1098,32636439,189.28066526219638,-28.647513301247248,7,"[10, 36, 63, 90, 100, 101, 114]"
1099,53020246,89.13754752220885,32.271581089177026,3,"[19, 59, 73]"
1100,52957498,245.50127208641328,8.437487019180734,4,"[91, 115, 116, 117]"
1101,71960105,244.50751608039502,17.05937061431816,1,[117]
1102,71966031,91.99078314933674,-29.630053221147186,5,"[6, 33, 87, 110, 111]"
1103,71928874,48.64572350441487,42.44230764200776,2,"[18, 85]"
1104,71983021,244.14033426534692,19.20140738021448,1,[117]
1105,91638523,19.58622682942047,-49.8702692925849,7,"[3, 30, 97, 104, 105, 106, 107]"
1106,91686663,103.89006583199911,6.656846839965766,6,"[20, 44, 45, 47, 71, 72]"
1107,12974182,336.4811926335063,-19.516845541134217,3,"[2, 29, 106]"
1108,13024620,337.91543081236875,-18.694600713075193,4,"[2, 29, 69, 96]"
1109,13065910,336.6932499165995,-22.233000576732252,5,"[2, 29, 69, 96, 106]"
1110,13071322,71.14073223648036,-46.91355738758491,6,"[5, 98, 106, 107, 108, 109]"
1111,32711983,169.23290512218384,-53.8492657330578,10,"[9, 35, 36, 62, 63, 89, 90, 99, 111, 112]"
1112,32828818,85.57250354938346,-50.52535662945316,8,"[6, 32, 33, 87, 98, 107, 108, 109]"
1113,53178075,168.9292128701166,-9.34346265019672,7,"[9, 36, 45, 46, 62, 72, 89]"
1114,53134037,276.067234851473,-6.52399299425323,4,"[13, 91, 92, 116]"
1115,53175558,109.75876135028628,-56.46554772003255,9,"[6, 7, 33, 34, 87, 88, 108, 109, 110]"
