#
#  Times of cadences affected by momentum dumps
#  Created Thu Oct  9 00:03:05 EDT 2025 by roland
#
#  Fields are UTC, TJD, spacecraft time, cadence number, FFI number
#
2018-08-28 15:17:41.302223 UTC, 1359.13808432, 1219504680.0, 94812, 6320
2018-08-31 03:03:41.215713 UTC, 1361.62836109, 1219719840.0, 96605, 6440
2018-08-31 03:05:41.215665 UTC, 1361.62974998, 1219719960.0, 96606, 6440
2018-08-31 03:07:41.215616 UTC, 1361.63113887, 1219720080.0, 96607, 6440
2018-08-31 03:09:41.215568 UTC, 1361.63252776, 1219720200.0, 96608, 6440
2018-08-31 03:11:41.215520 UTC, 1361.63391665, 1219720320.0, 96609, 6440
2018-08-31 03:13:41.215472 UTC, 1361.63530553, 1219720440.0, 96610, 6440
2018-08-31 03:15:41.215423 UTC, 1361.63669442, 1219720560.0, 96611, 6440
2018-08-31 03:17:41.215375 UTC, 1361.63808331, 1219720680.0, 96612, 6440
2018-09-02 15:03:41.128865 UTC, 1364.12836009, 1219935840.0, 98405, 6560
2018-09-02 15:05:41.128817 UTC, 1364.12974897, 1219935960.0, 98406, 6560
2018-09-02 15:07:41.128769 UTC, 1364.13113786, 1219936080.0, 98407, 6560
2018-09-02 15:09:41.128721 UTC, 1364.13252675, 1219936200.0, 98408, 6560
2018-09-02 15:11:41.128672 UTC, 1364.13391564, 1219936320.0, 98409, 6560
2018-09-02 15:13:41.128624 UTC, 1364.13530453, 1219936440.0, 98410, 6560
2018-09-02 15:15:41.128576 UTC, 1364.13669342, 1219936560.0, 98411, 6560
2018-09-02 15:17:41.128528 UTC, 1364.13808230, 1219936680.0, 98412, 6560
2018-09-05 03:03:41.042018 UTC, 1366.62835908, 1220151840.0, 100205, 6680
2018-09-05 03:05:41.041970 UTC, 1366.62974797, 1220151960.0, 100206, 6680
2018-09-05 03:07:41.041921 UTC, 1366.63113686, 1220152080.0, 100207, 6680
2018-09-05 03:09:41.041873 UTC, 1366.63252575, 1220152200.0, 100208, 6680
2018-09-05 03:11:41.041825 UTC, 1366.63391463, 1220152320.0, 100209, 6680
2018-09-05 03:13:41.041777 UTC, 1366.63530352, 1220152440.0, 100210, 6680
2018-09-05 03:15:41.041728 UTC, 1366.63669241, 1220152560.0, 100211, 6680
2018-09-05 03:17:41.041680 UTC, 1366.63808130, 1220152680.0, 100212, 6680
2018-09-07 01:59:40.974458 UTC, 1368.58391385, 1220320800.0, 101613, 6774
2018-09-07 02:01:40.974411 UTC, 1368.58530274, 1220320920.0, 101614, 6774
2018-09-07 02:03:40.974363 UTC, 1368.58669163, 1220321040.0, 101615, 6774
2018-09-07 02:05:40.974316 UTC, 1368.58808052, 1220321160.0, 101616, 6774
2018-09-07 02:07:40.974268 UTC, 1368.58946941, 1220321280.0, 101617, 6774
2018-09-07 02:09:40.974221 UTC, 1368.59085830, 1220321400.0, 101618, 6774
2018-09-07 02:11:40.974173 UTC, 1368.59224718, 1220321520.0, 101619, 6774
2018-09-07 02:13:40.974126 UTC, 1368.59363607, 1220321640.0, 101620, 6774
2018-09-07 02:15:40.974078 UTC, 1368.59502496, 1220321760.0, 101621, 6774
2018-09-07 02:17:40.974031 UTC, 1368.59641385, 1220321880.0, 101622, 6774
2018-09-07 02:19:40.973983 UTC, 1368.59780274, 1220322000.0, 101623, 6774
2018-09-07 02:21:40.973935 UTC, 1368.59919163, 1220322120.0, 101624, 6774
2018-09-07 02:23:40.973888 UTC, 1368.60058051, 1220322240.0, 101625, 6774
2018-09-09 14:53:40.887618 UTC, 1371.12141285, 1220540040.0, 103440, 6895
2018-09-09 14:55:40.887570 UTC, 1371.12280174, 1220540160.0, 103441, 6895
2018-09-09 14:57:40.887523 UTC, 1371.12419063, 1220540280.0, 103442, 6895
2018-09-09 14:59:40.887475 UTC, 1371.12557951, 1220540400.0, 103443, 6896
2018-09-09 15:01:40.887427 UTC, 1371.12696840, 1220540520.0, 103444, 6896
2018-09-09 15:03:40.887380 UTC, 1371.12835729, 1220540640.0, 103445, 6896
2018-09-09 15:05:40.887332 UTC, 1371.12974618, 1220540760.0, 103446, 6896
2018-09-09 15:07:40.887285 UTC, 1371.13113507, 1220540880.0, 103447, 6896
2018-09-12 02:53:40.802060 UTC, 1373.62141186, 1220756040.0, 105240, 7015
2018-09-12 02:55:40.802013 UTC, 1373.62280075, 1220756160.0, 105241, 7015
2018-09-12 02:57:40.801965 UTC, 1373.62418963, 1220756280.0, 105242, 7015
2018-09-12 02:59:40.801918 UTC, 1373.62557852, 1220756400.0, 105243, 7016
2018-09-12 03:01:40.801870 UTC, 1373.62696741, 1220756520.0, 105244, 7016
2018-09-12 03:03:40.801823 UTC, 1373.62835630, 1220756640.0, 105245, 7016
2018-09-12 03:05:40.801775 UTC, 1373.62974519, 1220756760.0, 105246, 7016
2018-09-12 03:07:40.801728 UTC, 1373.63113408, 1220756880.0, 105247, 7016
2018-09-14 14:53:40.716503 UTC, 1376.12141087, 1220972040.0, 107040, 7135
2018-09-14 14:55:40.716455 UTC, 1376.12279976, 1220972160.0, 107041, 7135
2018-09-14 14:57:40.716408 UTC, 1376.12418864, 1220972280.0, 107042, 7135
2018-09-14 14:59:40.716360 UTC, 1376.12557753, 1220972400.0, 107043, 7136
2018-09-14 15:01:40.716313 UTC, 1376.12696642, 1220972520.0, 107044, 7136
2018-09-14 15:03:40.716265 UTC, 1376.12835531, 1220972640.0, 107045, 7136
2018-09-14 15:05:40.716218 UTC, 1376.12974420, 1220972760.0, 107046, 7136
2018-09-14 15:07:40.716170 UTC, 1376.13113309, 1220972880.0, 107047, 7136
2018-09-17 02:53:40.630945 UTC, 1378.62140988, 1221188040.0, 108840, 7255
2018-09-17 02:55:40.630898 UTC, 1378.62279877, 1221188160.0, 108841, 7255
2018-09-17 02:57:40.630850 UTC, 1378.62418765, 1221188280.0, 108842, 7255
2018-09-17 02:59:40.630803 UTC, 1378.62557654, 1221188400.0, 108843, 7256
2018-09-17 03:01:40.630755 UTC, 1378.62696543, 1221188520.0, 108844, 7256
2018-09-17 03:03:40.630708 UTC, 1378.62835432, 1221188640.0, 108845, 7256
2018-09-17 03:05:40.630660 UTC, 1378.62974321, 1221188760.0, 108846, 7256
